in s,Math in V
-4.867000E-04,1.45535E-03
-4.866500E-04,3.56327E-02
-4.866000E-04,4.15017E-02
-4.865500E-04,-1.12430E-02
-4.865000E-04,-2.19749E-02
-4.864500E-04,1.41537E-02
-4.864000E-04,5.12579E-02
-4.863500E-04,1.17146E-02
-4.863000E-04,-3.71123E-02
-4.862500E-04,-7.32526E-03
-4.862000E-04,4.88188E-02
-4.861500E-04,4.15017E-02
-4.861000E-04,-2.05114E-02
-4.860500E-04,-3.61367E-02
-4.860000E-04,2.34374E-02
-4.859500E-04,5.95659E-02
-4.859000E-04,1.70806E-02
-4.858500E-04,-3.46732E-02
-4.858000E-04,-3.91058E-03
-4.857500E-04,4.54042E-02
-4.857000E-04,4.29651E-02
-4.856500E-04,-7.81307E-03
-4.856000E-04,-2.78438E-02
-4.855500E-04,1.31781E-02
-4.855000E-04,4.19895E-02
-4.854500E-04,1.31781E-02
-4.854000E-04,-1.66089E-02
-4.853500E-04,5.84566E-03
-4.853000E-04,3.36814E-02
-4.852500E-04,2.44130E-02
-4.852000E-04,-1.36821E-02
-4.851500E-04,-3.91058E-03
-4.851000E-04,2.39252E-02
-4.850500E-04,3.17302E-02
-4.850000E-04,1.45535E-03
-4.849500E-04,-1.80724E-02
-4.849000E-04,2.19587E-02
-4.848500E-04,3.51449E-02
-4.848000E-04,6.33347E-03
-4.847500E-04,-1.80724E-02
-4.847000E-04,-1.47152E-03
-4.846500E-04,4.49163E-02
-4.846000E-04,3.07546E-02
-4.845500E-04,-2.14871E-02
-4.845000E-04,-1.90480E-02
-4.844500E-04,2.63642E-02
-4.844000E-04,5.22335E-02
-4.843500E-04,7.30909E-03
-4.843000E-04,-3.27220E-02
-4.842500E-04,4.38222E-03
-4.842000E-04,4.49163E-02
-4.841500E-04,3.90474E-02
-4.841000E-04,-1.75846E-02
-4.840500E-04,-2.97951E-02
-4.840000E-04,3.46570E-02
-4.839500E-04,4.88188E-02
-4.839000E-04,7.81215E-03
-4.838500E-04,-3.17463E-02
-4.838000E-04,-1.51455E-02
-4.837500E-04,5.22335E-02
-4.837000E-04,3.12424E-02
-4.836500E-04,-1.31942E-02
-4.836000E-04,-1.31942E-02
-4.835500E-04,4.38222E-03
-4.835000E-04,5.46726E-02
-4.834500E-04,1.45535E-03
-4.834000E-04,-2.09992E-02
-4.833500E-04,1.22025E-02
-4.833000E-04,2.97789E-02
-4.832500E-04,2.49008E-02
-4.832000E-04,-1.46577E-02
-4.831500E-04,-5.37401E-03
-4.831000E-04,4.15017E-02
-4.830500E-04,2.24465E-02
-4.830000E-04,-6.83745E-03
-4.829500E-04,-1.17308E-02
-4.829000E-04,2.14709E-02
-4.828500E-04,4.78432E-02
-4.828000E-04,-3.91058E-03
-4.827500E-04,-1.90480E-02
-4.827000E-04,9.76340E-03
-4.826500E-04,4.39407E-02
-4.826000E-04,3.41692E-02
-4.825500E-04,-3.07707E-02
-4.825000E-04,-1.51455E-02
-4.824500E-04,3.75839E-02
